name,address,city,state,country,postalCode,latitude,longitude,categories,keys,,
(512) Brewing Company,407 Radam Lane,Austin,TX,US,,30.22308,-97.769899,"Attraction,Bars,Clubs and Nightlife,Brewery",us/tx/austin/407radamlane/1163787123,,
1 More Brewing Co,816 Yellowstone Trl,Waconia,MN,US,55387,44.8497,-93.7731,Brewers,us/mn/waconia/816yellowstonetrl/-721744422,,
10 Barrel Brewing Boise,826 W Bannock St,Boise,ID,US,83702,43.6179,-116.2027,Brewers,us/id/boise/826wbannockst/-2133153677,,
10 Barrel Brewing Co,20750 High Desert Ln,Bend,OR,US,97701,44.089,-121.2854,"Brewers,Wineries",us/or/bend/20750highdesertln/906631547,,
100 Montaditos,C.C. Alcalá Magna,Asheville,NC,US,28805,35.57,-82.54,Brewery,us/nc/asheville/ccalcalmagna/-1769803637,,
100 Montaditos,Espacio Mediterráneo Centro Comercial y de Ocio,Atlanta,GA,US,30353,33.85,-84.39,Brewery,us/ga/atlanta/espaciomediterrneocentrocomercialydeocio/-1769803637,,
100 Montaditos,Pl. de Conde Casal,Ansonville,NC,US,28007,35.1,-80.1,Brewery,us/nc/ansonville/pldecondecasal/-1769803637,,
1000 Campanas Suenan En Mi Corazón,"C. Mesena, 106",Crouse,NC,US,28033,35.42,-81.3,"American Restaurant,Brewery",us/nc/crouse/cmesena106/-981241653,,
101 Cider House,31111 Via Colinas,Thousand Oaks,CA,US,91362,34.18,-118.87,Brewery,us/ca/thousandoaks/31111viacolinas/467854215,,
101 North Brewing Company,1304 Scott St Ste D,Petaluma,CA,US,94954,38.21,-122.76,Brewery,us/ca/petaluma/1304scottststed/-2012925456,,
10barrel brewing,2620 Walnut St,Denver,CO,US,80205,39.75939,-104.9855,"Brewery,Restaurant",us/co/denver/2620walnutst/906631547,,
10K Brewing,2005 2nd Ave,Anoka,MN,US,55303,45.19832,-93.38955,"Brewery,Restaurant",us/mn/anoka/20052ndave/41112564,,
11 Below Brewing Company,6820 Bourgeois Rd,Houston,TX,US,77066,29.76,-95.38,Brewery,us/tx/houston/6820bourgeoisrd/2069673262,,
11th Hour Brewing Co,3711 Charlotte St,Pittsburgh,PA,US,15201,40.43,-79.97,Brewers,us/pa/pittsburgh/3711charlottest/415009832,,
12 Degree Brewing,Main Street,Louisville,CO,US,80027,39.96,-105.14,Brewery,us/co/louisville/mainstreet/-1198102829,,
12 Gates Brewing,80 Earhart Dr 20,Buffalo,NY,US,14221,42.9549,-78.7146,Brewers,us/ny/buffalo/80earhartdr20/923562553,,
12 String Brewing Co,11616 E Montgomery Dr,Spokane,WA,US,99206,47.6771,-117.2493,Brewers,us/wa/spokane/11616emontgomerydr/-82481682,,
12 West Brewing Co.,3000 E Ray Rd,Gilbert,AZ,US,,33.34,-111.81,Brewery,us/az/gilbert/3000erayrd/1950847568,,
13 Point Brewing Co LLC,2153 Farleigh Rd,Columbus,OH,US,43221,40.015,-83.0696,Brewers,us/oh/columbus/2153farleighrd/-1368307918,,
13 Village Brewing LLC,236 E Welch Ave,Columbus,OH,US,43207,39.98,-82.98,Brewers,us/oh/columbus/236ewelchave/1319944214,,
13 Virtues Brewing Co.,6410 SE Milwaukie Ave,Portland,OR,US,97202,45.5,-122.69,Brewery,us/or/portland/6410semilwaukieave/-1082088716,,
1300g @ Tview,1300G Terrace Vw,Blacksburg,VA,US,24060,37.23,-80.42,Brewery,us/va/blacksburg/1300gterracevw/1735480116,,
1333 Brewery Park LLC,1333 Gratiot Ave,Detroit,MI,US,48207,42.3432,-83.0402,Brewers,us/mi/detroit/1333gratiotave/2010417874,,
1420. Tienda de la cerveza.,"Calle de la Serna, 42 León",Roanoke,VA,US,24007,37.27,-79.95,Brewery,us/va/roanoke/calledelaserna42len/-1068453708,,
14th Star Brewing Co LLC,41 Lower Newton St,Saint Albans,VT,US,5478,44.8107,-73.0836,Brewers,us/vt/saintalbans/41lowernewtonst/1413488855,,
14th Star Brewing Company,133 N Main St,Saint Albans,VT,US,#REF!,44.81492,-73.08224,"Breweries,Food & Drink",us/stalbans/saintalbans/133nmainst/2083782,,
1585 Pennsauken LLC,1585 State Hwy No 73,Pennsauken,NJ,US,8110,39.984676,-75.020563,Brewers,us/nj/pennsauken/1585statehwyno73/-1520162141,,
16 Mile Brewing Company,413 S Bedford St,Georgetown,DE,US,19947,38.69,-75.38,"Brewery,Bar",us/de/georgetown/413sbedfordst/-180662505,,
1840 Brewing Co LLC,342 E Ward St,Milwaukee,WI,US,53207,43.06,-87.96,Brewers,us/wi/milwaukee/342ewardst/-1872230563,,
1912 Brewing Co.,2045 N Forbes Blvd,Tucson,AZ,US,85745,32.24656,-110.99348,"Breweries,Food & Drink",us/az/tucson/2045nforbesblvd/-1750694601,,
192 Brewing Tasting Room,7324 NE 175th St,Kenmore,WA,US,98028,47.75683056,-122.2419298,"Brewery,Bar",us/wa/kenmore/7324ne175thst/2006751065,,
1933 Brewing Company,4025 S Mason,Fort Collins,CO,US,80525,40.53153378,-105.0799763,Brewery,us/co/fortcollins/4025smason/1156637029,,
1940 Brewing Co LLC,1337 Lincoln Ave 1,Holbrook,NY,US,11741,40.79,-73.07,Brewers,us/ny/holbrook/1337lincolnave1/-2068744068,,
1940's Brewing Company,1337 1 Lincoln Ave,Holbrook,NY,US,11741,40.79,-73.07,Brewery,us/ny/holbrook/13371lincolnave/99633388,,
1960 C B Tavern,1960 N 2nd St,Philadelphia,PA,US,PhiladelphiaPA,39.95,-75.16,breweries & brew pubs,us/pa/philadelphia/1960n2ndst/737568537,,
1st Republic Brewing Co,39 River Rd,Essex Junction,VT,US,5452,44.4835,-73.0844,Brewers,us/vt/essexjunction/39riverrd/590149938,,
2 Man Brew LLC,18439 Limestone Rd,Jupiter,FL,US,33458,26.9479,-80.1186,Brewers,us/fl/jupiter/18439limestonerd/2076471530,,
